Name,Affiliation,Citations,H-Index,I10-Index,Interests,Profile Picture URL
"Pablo Moreno-Muñoz","Postdoc, Technical University of Denmark (DTU)",187,7,5,"Machine Learning;Artificial Intelligence;Bayesian Inference;Gaussian Processes","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8vL8iawAAAAJ&citpid=8"
"Panagiotis Karras","Associate Professor, Aarhus University",3862,28,48,"Data Management;Scalable Machine Learning;Data Mining;Privacy;Artificial Intelligence","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=B6C4aBoAAAAJ&citpid=2"
"Paolo Burelli","Associate Professor",489,15,16,"Artificial Intelligence;Data Mining;Computer Games","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=cWWAQPYAAAAJ&citpid=3"
"Paraskevas Pegios","Technical University of Denmark",13,2,1,"","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LVACmX4AAAAJ&citpid=1"
"Paul Jeha","Technical University of Denmark",18,1,1,"Deep Learning;Generative Models;GAN;Neural ODE;Neural SDE","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Ate9tL0AAAAJ&citpid=1"
"Peter Schneider-Kamp","Professor of Computer Science, University of Southern Denmark",3391,30,54,"Artificial Intelligence;Automated Reasoning;Declarative Programming;Programming Languages;Software Verification","N/A"
"Peter Mørch Groth","Industrial PhD student, University of Copenhagen and Novozymes A/S",1,1,0,"","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UO0Z4PIAAAAJ&citpid=1"
"Peter Sestoft","Professor, IT University of Copenhagen",5441,26,47,"programming languages;software development;functional programming;programming language implementation","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qz1BCu8AAAAJ&citpid=1"
"Peter Ebert Christensen","University of Copenhagen",54,3,2,"Natural language processing;Deep unsupervised Learning;Human-Computer Interaction","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6MejXVYAAAAJ&citpid=2"
"Peter Møllgaard","PhD Student, DTU Compute, Technical University of Denmark",24,1,1,"Deep Learning;Human Behaviour;Social Data","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fOsXIgcAAAAJ&citpid=2"
"Peter Gorm Larsen","Aarhus University",7675,37,122,"formal methods;VDM;cyber-physical systems;digital twins;systems of systems","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ooFozxQAAAAJ&citpid=3"
"Pınar Tözün","IT University of Copenhagen",930,15,24,"databases;hardware;machine learning;edge","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JTmMb3kAAAAJ&citpid=3"
"Rafael Wisniewski","Aalborg University, Department of Electronic Systems",3981,30,94,"hybrid systems;mathematical control theory;safety;security;critical infrastructure","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=uoH_txQAAAAJ&citpid=2"
"Raghavendra Selvan","Assistant Professor (TT), University of Copenhagen",822,13,13,"Efficient Machine Learning;Medical Image Analysis;AI for Science","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=R9VBQ54AAAAJ&citpid=4"
"Rasmus R. Paulsen","Professor in Medical Image Analysis, DTU Compute, Technical University of Denmark",1723,22,46,"Medical Image Analysis;Statistical Shape Analysis;Geometric deep learning;metric learning;cardiovascular diseases.","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UkOaTWAAAAAJ&citpid=4"
"Richard Michael","PhD fellow, University of Copenhagen",1,1,0,"Bayesian Optimization;Probabilistic Machine Learning","N/A"
"Rikke Gade","Associate professor, Aalborg University",1528,17,19,"Computer Vision;Thermal Imaging;Robotics;Computer Vision in Sports","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WqLUZY8AAAAJ&citpid=1"
"rob van der goot","Postdoc IT university of Copenhagen",811,15,23,"Natural language processing;parsing;domain adaptation","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lU4zpOEAAAAJ&citpid=1"
"Robert Jenssen","Visual Intelligence, UiT The Arctic University of Norway & Norw. Comp. Center & P1 Centre AI, UCPH",7296,37,98,"Machine learning;information theoretic learning;kernel methods;deep learning;health data analytics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HiviXjIAAAAJ&citpid=5"
"Roberta Sinatra","Professor, University of Copenhagen",4683,25,29,"Computational Social Science;Network Science;Science of Science;Data Science;Complex Systems","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=PL8nGh4AAAAJ&citpid=7"
"Roberto Galeazzi","Technical University of Denmark",1506,18,33,"Path planning;Sensor fusion;Nonlinear and adaptive control;Fault diagnosis and Fault tolerant control;Statistical change det","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=aqvfXLcAAAAJ&citpid=4"
"Roman Jurowetzki","Associate Professor, Aalborg University",530,11,13,"applied data science;innovation studies;technological change","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9Zwa75gAAAAJ&citpid=8"
"Rune W. Berg","Department of Neuroscience, University of Copenhagen",2495,20,30,"Motor control;neuronal networks;motor pattern generation","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=x1QHxIUAAAAJ&citpid=3"
"Sagie Benaim","Postdoc, University of Copenhagen",1196,15,17,"Computer Vision;Machine Learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-zSM2I8AAAAJ&citpid=1"
"Salif Axel Komi","Postdoctoral Researcher, University of Copenhagen",1114,6,6,"Spinal Cord;Network Dynamics;Motor Control;Sensory integration;Neuromodulation","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4VxBgJMAAAAJ&citpid=1"
"Samir Bhatt","Professor of Machine Learning and Public Health University of Copenhagen",74398,84,166,"Malaria;Infectious diseases;COVID-19;Machine Learning;Mathematical Biology","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=tL0x_vUAAAAJ&citpid=3"
"Samuel Demharter","Genmab",710,10,10,"Genomics;Machine Learning;Transformer Language Models;Antibody Discovery & Development;Drug R&D","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RAFNEeAAAAAJ&citpid=4"
"Sandro Sousa","IT university of Copenhagen",36,4,1,"Complexity;Networks;Computational Social Science;Cities;Inequality","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=38s9SVgAAAAJ&citpid=9"
"Sanja Lazarova-Molnar","Professor, Karlsruhe Institute of Technology & University of Southern Denmark",1955,23,58,"modeling & simulation;artificial intelligence;digital twins;data analytics;reliability analysis","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kcPJDIAAAAAJ&citpid=4"
"Sara Vera Marjanovic","Data Scientist, University of Copenhagen",9,2,0,"biases;natural language processing;cognitive science;psychology;networks","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=f026qd8AAAAJ&citpid=1"
"Sarthak Yadav","PhD Fellow at Pioneer Center for AI and AAU, Denmark",315,4,3,"Deep Learning;Spoken Language Understanding;Audio processing","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=cVsg9VsAAAAJ&citpid=3"
"Satya Mahesh Muddamsetty","Postodc, Aalborg University",157,8,7,"Computer Vision;Pattern Recognition;Explainable AI (XAI);Image/video Analysis;Machine/Deep Learning","N/A"
"Sebastian Weichwald","University of Copenhagen / formerly Max Planck Institute for Intelligent Systems, ETH Zurich",668,10,10,"","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lApaQd4AAAAJ&citpid=7"
"Sebastian Felix Schwemer","Centre for Information and Innovation Law, University of Copenhagen",181,8,8,"Regulation of & by technology;Internet Regulation;Copyright;Legal Informatics;Startups","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lPJ_34IAAAAJ&citpid=2"
"Sergio Escalera","Prof., ICREA Academy, University of Barcelona, Computer Vision Center, ELLIS & IAPR & AAIA Fellow",14170,62,203,"Human Behavior Analysis;Machine Learning;Computer Vision;Affective Computing;Social Signal Processing","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=oI6AIkMAAAAJ&citpid=10"
"Sergios Theodoridis","National and Kapodistrian University of Athens, Greece and Aalborg University Denmark",22756,50,154,"Signal Processing;Machine Learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=3dBjdv4AAAAJ&citpid=1"
"Shashi Raj Pandey","Assistant Professor, Aalborg University",1416,17,22,"Network Economics;Game Theory;Wireless Networks;Distributed Learning;Semantic Communications","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=yFmz36AAAAAJ&citpid=6"
"Shuai Zhao","Assistant Professor, AAU Energy, Aalborg University",1027,14,18,"Physics-informed AI;Power Electronics Reliability;Condition Monitoring;Remaining Useful Life","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-QHLgIAAAAAJ&citpid=8"
"Shuai Zhang","Professor (promotion program), Aalborg University",5683,38,94,"Antennas;Electromagnetics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1NEiHdQAAAAJ&citpid=6"
"Siavash Bigdeli","Associate Professor, Technical University of Denmark",477,9,8,"Image processing;Deep learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NhEK9voAAAAJ&citpid=1"
"Siavash Bigdeli","Associate Professor, Technical University of Denmark",477,9,8,"Image processing;Deep learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NhEK9voAAAAJ&citpid=1"
"Silvia Tolu","Associate Professor",625,13,16,"Neurorobotics;Neuromorphic;Cerebellum;Bioinspired Control;Motor learning and control","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ITsafnMAAAAJ&citpid=8"
"Simon Bøgh","Aalborg University",1870,20,31,"Artificial Intelligence;Reinforcement Learning;Machine Learning;Robotics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=l3u9RVgAAAAJ&citpid=3"
"Sine Zambach","Assistant Professor",78,5,2,"Data Science;Artificial Intelligence;Learning Analytics;Bioinformatics;Biomedical Ontologies","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=sI4U54wAAAAJ&citpid=1"
"Sine N. Just","Roskilde Uiversity",1073,17,28,"","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6qSnRigAAAAJ&citpid=1"
"Sneha Das","Technical University of Denmark",98,6,4,"Speech-tech;Multisensory data;Privacy in ML;Multidevice Speech Processing","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=eL0_3FUAAAAJ&citpid=3"
"Sokol Kosta","Associate Professor, Aalborg University",3335,22,41,"mobile cloud computing;edge computing;distributed systems;device-to-device offloading;pervasive computing","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NOi_xTgAAAAJ&citpid=6"
"Søren Knudsen","Assistant Professor, Digital Design Department, IT University of Copenhagen",360,9,9,"Human Computer Interaction;Information Visualization","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wpsOZm0AAAAJ&citpid=4"
"Søren Hauberg","Cognitive Systems, DTU Compute, Technical University of Denmark",4979,28,49,"Machine Learning;Computer Vision;Geometric Statistics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=M1fMGOMAAAAJ&citpid=3"
"Søren Kyllingsbæk","Professor of Cognitive Psychology, University of Copenhagen",3432,27,37,"Cognitive Modeling;Experimental Psychology;Visual Attention;Visual Short-Term Memory;Intentional Actions","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TIMCthYAAAAJ&citpid=3"
"Srishti Yadav","PhD Student, University of Copenhagen",63,4,3,"Computer Vision;Natural Language Processing","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LW9fQacAAAAJ&citpid=2"
"Stefan Heinrich","Assistant Professor, IT University of Copenhagen",740,13,20,"Recurrent Neural Networks;Natural Language Processing;Developmental Robotics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hHx7vgoAAAAJ&citpid=3"
"Stefan Sommer","Professor at University of Copenhagen",1124,20,29,"","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GGh0haAAAAAJ&citpid=2"
"Stella Grasshof","IT University of Copenhagen",55,5,2,"Machine Learning;Computer Vision;Registration;3D Reconstruction;Facial Animation","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kSuLm58AAAAJ&citpid=1"
"Stella Frank","Pioneer Centre for AI / University of Copenhagen",1584,15,17,"Multimodal NLP;cognitive modelling","N/A"
"Stina Matthiesen","Assistant professor, Department of Computer Science, University of Copenhagen",326,8,8,"Computer Supported Cooperative Work (CSCW);Ethnography;Co-design;Health Informatics;Workplace studies","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8WFwlh4AAAAJ&citpid=7"
"Stine Gotved","IT University of Copenhagen",390,7,7,"Cyber Sociology;Digital Culture;Death Online","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1KFd4wIAAAAJ&citpid=1"
"Subham Sahoo","Aalborg University",2033,25,39,"Microgrids;Renewable Energy;Power Electronics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=gi0pwoQAAAAJ&citpid=17"
"Sune Darkner","Associate Professor, datalogi Københavns Universitet",1131,15,24,"Machine Learning;image analysis;scale space of density estimation;similarity;simulation","N/A"
"Tariq Osman Andersen","Associate Professor, Dept. of Computer Science, University of Copenhagen",531,14,16,"Health Informatics;Participatory Design;Computer-Supported Cooperative Work;Human–computer interaction;Science and Technol","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FMtPAZ0AAAAJ&citpid=2"
"Tejs Vegge","Professor, Technical University of Denmark",16758,58,163,"Director of CAPeX - Pioneer Center for Accelerating P2X Materials Discovery","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rfnfcp0AAAAJ&citpid=8"
"Teresa Hirzle","Assistant Professor, University of Copenhagen",272,9,8,"Human-Computer Interaction","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ozJvIuoAAAAJ&citpid=3"
"Thea Brüsch","PhD student, Technical University of Denmark",N/A,0,0,"Artificial intelligence;Representation learning;Time series data;Machine learning;Explainability","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=d5tGeskAAAAJ&citpid=1"
"Thomas Gammeltoft-Hansen","Professor in migration and mobility law; Director, MOBILE Center of Excellence",3099,26,43,"refugees;migration;international law;human rights;IL/IR theory","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UHqHqd0AAAAJ&citpid=2"
"Thomas Troels Hildebrandt","Professor, Computer Science Departement University of Copenhagen",2768,31,77,"Model-driven Software Engineering;Business Process and Case Management Technologies;Privacy & Security;Semantics;Concurrency","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=g3QnDU0AAAAJ&citpid=3"
"Thomas Hamelryck","Dpt. of computer science / Dpt. of biology, University of Copenhagen",7968,31,49,"Deep probabilistic programming;Bayesian statistics;Bioinformatics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YoTlzjkAAAAJ&citpid=5"
"Thomas Dyhre Nielsen","Aalborg University",9496,26,56,"Machine learning;data mining;Bayesian networks;influence diagrams","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6fWF0CgAAAAJ&citpid=2"
"Tijs Slaats","Associate Professor at Department of Computer Science, University of Copenhagen",2226,25,47,"Computer Science;Business Process Management","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=c9fu-JIAAAAJ&citpid=1"
"Timothy P. Jenkins","Head of Data Science and Assistant Professor at DTU Bioengineering",1220,20,26,"Antibody technologies;animal toxins;BIG data;AI/ML;microbiome","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=90oElWgAAAAJ&citpid=2"
"Toke Thomas Høye","Professor, Department of Ecoscience, Aarhus University, Denmark",9896,44,93,"Arctic ecology;Arthropods;Biodiversity;Global Change Biology;Deep Learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=veyhhTsAAAAJ&citpid=3"
"Tomislav Dragičević","Professor, Technical University of Denmark",19152,70,223,"Microgrids;Electric Drives;Power Electronics;Power Systems;Smart Grids","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-cOE0hUAAAAJ&citpid=2"
"Tommy Sonne Alstrøm","Technical University of Denmark",976,13,17,"Machine Learning;Bayesian Inference;signal processing","N/A"
"Tor-Salve Dalsgaard","University of Copenhagen",57,4,1,"HCI;haptics;interactions","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RVTz6jgAAAAJ&citpid=1"
"Tuukka Ruotsalo","University of Copenhagen and University of Helsinki",2473,30,49,"Information Retrieval;Recommender Systems;Human-Computer Interaction;Affective computing","https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Dwj2B9EAAAAJ&citpid=3"
"Ulrik Schultz","University of Southern Denmark",1977,24,50,"programming languages;modular robots;agricultural robots;domain-specific languages;program generation","N/A"
"Vasiliki Fragkia","Research Assistant",22,1,1,"Architecture;Design;Research;Computational Design","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GM7M-0AAAAAJ&citpid=1"
"vedran sekara","Assistant Professor at the IT University of Copenhagen",1386,11,11,"Network Science;Computational Social Science;ML Bias & Fairness","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=u_dmO4UAAAAJ&citpid=1"
"Vedrana Andersen Dahl","Associate professor at DTU Compute",563,13,21,"Image analysis;geometry processing","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=UKzooBcAAAAJ&citpid=2"
"Vésteinn Snæbjarnarson","Pioneer Centre for AI / University of Copenhagen and Miðeind ehf",91,5,2,"natural language processing;computer vision;machine learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=cp283P4AAAAJ&citpid=1"
"Wei Fan","Aalborg University",2527,27,78,"Radio propagation;Array Signal processing;antenna measurement;Over-the-air testing","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vP57OjMAAAAJ&citpid=1"
"Wouter Boomsma","Professor, Department of Computer Science, University of Copenhagen",3079,26,41,"Machine learning;Structural Bioinformatics;Biomolecular simulations","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=EwqU_jsAAAAJ&citpid=3"
"Yevgeny Seldin","Professor, Department of Computer Science, University of Copenhagen",1823,23,37,"Machine Learning;Online Learning;Learning Theory","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fpWsD9oAAAAJ&citpid=1"
"Yijie Zhang","University of Copenhagen",81,5,3,"machine learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HVR4014AAAAJ&citpid=1"
"Yongluan Zhou","Professor of Computer Science, University of Copenhagen",1714,24,40,"Database Systems;Event-Based Systems;Distributed Systems","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Tqh1RIkAAAAJ&citpid=4"
